2023-04-13 10:57:11.582 [1;31m[ERROR][0;39m [http-nio-8081-exec-9] s.d.d.config.GlobalExceptionHandler GlobalExceptionHandler.java.78  - System Exception! request API:/app/verifyVP,Exception:java.lang.NullPointerException: Cannot invoke "scut.deng.didservice.pojo.Proof.getCreator()" because "proof" is null
2023-04-13 10:57:19.415 [1;31m[ERROR][0;39m [http-nio-8081-exec-7] s.d.d.config.GlobalExceptionHandler GlobalExceptionHandler.java.78  - System Exception! request API:/app/verifyVP,Exception:java.lang.NullPointerException: Cannot invoke "scut.deng.didservice.pojo.Proof.getCreator()" because "proof" is null
2023-04-13 10:57:35.667 [1;31m[ERROR][0;39m [http-nio-8081-exec-3] s.d.d.config.GlobalExceptionHandler GlobalExceptionHandler.java.78  - System Exception! request API:/app/verifyVP,Exception:java.lang.NullPointerException: Cannot invoke "scut.deng.didservice.pojo.Proof.getCreator()" because "proof" is null
2023-04-13 10:57:45.585 [1;31m[ERROR][0;39m [http-nio-8081-exec-4] s.d.d.config.GlobalExceptionHandler GlobalExceptionHandler.java.78  - System Exception! request API:/app/verifyVP,Exception:java.lang.NullPointerException: Cannot invoke "scut.deng.didservice.pojo.Proof.getCreator()" because "proof" is null
2023-04-13 10:58:39.787 [1;31m[ERROR][0;39m [http-nio-8081-exec-8] s.d.d.config.GlobalExceptionHandler GlobalExceptionHandler.java.78  - System Exception! request API:/app/verifyVP,Exception:java.lang.NullPointerException: Cannot invoke "scut.deng.didservice.pojo.Proof.getCreator()" because "proof" is null
2023-04-13 11:07:44.237 [1;31m[ERROR][0;39m [http-nio-8081-exec-3] s.d.d.config.GlobalExceptionHandler GlobalExceptionHandler.java.78  - System Exception! request API:/app/verifyVP,Exception:java.lang.ClassCastException: class java.util.ArrayList cannot be cast to class [Ljava.lang.String; (java.util.ArrayList and [Ljava.lang.String; are in module java.base of loader 'bootstrap')
2023-04-13 11:11:53.940 [1;31m[ERROR][0;39m [http-nio-8081-exec-7] s.d.d.config.GlobalExceptionHandler GlobalExceptionHandler.java.78  - System Exception! request API:/app/verifyVP,Exception:java.lang.ClassCastException: class java.util.ArrayList cannot be cast to class [Ljava.lang.String; (java.util.ArrayList and [Ljava.lang.String; are in module java.base of loader 'bootstrap')
2023-04-13 11:35:18.704 [1;31m[ERROR][0;39m [http-nio-8081-exec-2] s.d.d.config.GlobalExceptionHandler GlobalExceptionHandler.java.78  - System Exception! request API:/app/verifyVP,Exception:java.lang.ClassCastException: class cn.hutool.json.JSONArray cannot be cast to class [Ljava.lang.String; (cn.hutool.json.JSONArray is in unnamed module of loader 'app'; [Ljava.lang.String; is in module java.base of loader 'bootstrap')
2023-04-13 11:35:24.372 [1;31m[ERROR][0;39m [http-nio-8081-exec-3] s.d.d.config.GlobalExceptionHandler GlobalExceptionHandler.java.78  - System Exception! request API:/app/verifyVP,Exception:java.lang.NullPointerException: Cannot invoke "scut.deng.didservice.pojo.Proof.getCreator()" because "proof" is null
2023-04-13 11:40:21.334 [1;31m[ERROR][0;39m [http-nio-8081-exec-9] s.d.d.config.GlobalExceptionHandler GlobalExceptionHandler.java.78  - System Exception! request API:/app/verifyVP,Exception:java.lang.ClassCastException: class cn.hutool.json.JSONArray cannot be cast to class [Ljava.lang.String; (cn.hutool.json.JSONArray is in unnamed module of loader 'app'; [Ljava.lang.String; is in module java.base of loader 'bootstrap')
2023-04-13 13:58:04.639 [1;31m[ERROR][0;39m [http-nio-8081-exec-10] s.d.d.config.GlobalExceptionHandler GlobalExceptionHandler.java.78  - System Exception! request API:/app/verifyVP,Exception:java.lang.NullPointerException: Cannot invoke "scut.deng.didservice.pojo.Proof.getCreator()" because "proof" is null
2023-04-13 14:10:34.105 [1;31m[ERROR][0;39m [http-nio-8081-exec-10] s.d.d.config.GlobalExceptionHandler GlobalExceptionHandler.java.78  - System Exception! request API:/app/verifyVP,Exception:java.lang.reflect.InaccessibleObjectException: Unable to make protected native java.lang.Object java.lang.Object.clone() throws java.lang.CloneNotSupportedException accessible: module java.base does not "opens java.lang" to unnamed module @382db087
